candidate_id,mpid,full_name_mm,honorific,name,alias,photo_url,birthdate_orig,birthdate,age,gender,ethnicity_mm,ethnicity,religion_mm,religion,education_mm,education,occupation_mm,occupation,retired,ward_village_mm,house,state_mm,state,constituency_name_mm,constituency_number,constituency_name,constituency_name_code,ST_PCODE,DT_PCODE,TS_PCODE,AM_PCODE,party_mm,party,party_short,independent_logo,election,votes,total_votes
c7eba53c08ef6ce4ea16310390393da8,,Pi Za Tlem,Daw,Pi Za Tlem,,https://storage.cloud.google.com/staticassets/candidate-photos/2017/AMT_PiZaTlem.PNG,2/14/1968,24882,49.1,F,_____,Chin,________,Christian,____(_______),B.A (History),____________________________(______),member of parliament,1,_____(_)____________________,amyotha,_____,Chin,_____,3,Chin,Chin-3,MMR004,,,MMR004HLA003,______________________________,Chin National Democratic Party,CNDP,,2017,,
3462f649362cae95f8cfb5b13a1a7055,,Pu Zo Peng,U,Pu Zo Peng,,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_PuZoPan.PNG,2/20/1959,21601,58.1,M,_____,Chin,________,Christian,B.Sc (Maths),B.Sc (Maths),_______,peasant,,________ (_),amyotha,_____,Chin,_____,3,Chin,Chin-3,MMR004,,,MMR004HLA003,____________________________________________,Union Solidarity And Development Party,USDP,,2017,,
473434fcf90aa219f32dc2c3aa1c9788,,Pu Bawi Khing,U,Pu Bawi Khing,,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_PuBawiKhing.PNG,10/14/1946,17089,70.4,M,_____,Chin,________,Christian,____________ _______ (B.Th.MA),B.Th.MA,____________:________________ (______),agriculture manager,1,________ (_)________________,amyotha,_____,Chin,_____,3,Chin,Chin-3,MMR004,,,MMR004HLA003,_________________________________,National League for Democracy,NLD,,2017,,
9c035111ca24e1376ad292f41e606040,,_______________,U,Aung Kyi Win,,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_UAungKyiWin.PNG,4/4/1949,17992,67.9,M,____,Kayin,_____,Buddhist,H.S.F ______________________,H.S.F,______ (______)______________,education; restaurant ,,-,amyotha,_____,Bago,_____,4,Bago,Bago-4,MMR007,,,MMR007HLA004,__________________________________,National Unity Party,NUP,,2017,,
a6142f255d9d844ae57d8e0be99cd919,,__________,U,Htay Naing,,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_UHtayNaing.PNG,12/4/1958,21523,58.3,M,___,Bamar,_____,Buddhist,__________(_______)__________(_________),B.Sc (Maths); M.A (Defense),__________ (__________),military,1,_________________ (_)_______,amyotha,_____,Bago,_____,4,Bago,Bago-4,MMR007,,,MMR007HLA004,____________________________________________,Union Solidarity And Development Party,USDP,,2017,,
e9e4b46e4ea50d6108ece615f7652903,,________,U,Min Thu,,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_UMinThu.PNG,10/28/1976,28061,40.4,M,___,Bamar,_____,Buddhist,_________________,LL.B (4th year),_________________________________,agriculture,1,-,amyotha,_____,Bago,_____,4,Bago,Bago-4,MMR007,,,MMR007HLA004,_______________________________________,Union Farmer Force Party,UFFP,,2017,,
4208f41c2735eec6f4b4748daa7f6a03,,_____________,Dr,Hla Moe,,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_DrHlaMoe.PNG,5/27/1964,23524,52.8,F,___,Bamar,_____,Buddhist,"M.B,B.S","M.B,B.S",_________________,doctor; private medical practise,,________________,amyotha,_____,Bago,_____,4,Bago,Bago-4,MMR007,,,MMR007HLA004,_______________________,National Development Party,NDP,,2017,,
2b8e2bdf0bbdae7d131191f66831bd6d,,___________,U,Sein Htun,,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_USeinHtun.PNG,5/7/1966,24234,50.8,M,___,Bamar,_____,Buddhist,"B.A (Philo),D.E.L.T,","B.A (Philosophy); D.E.L.T,",_______,peasant,,___/___________________________________________,amyotha,_____,Bago,_____,4,Bago,Bago-4,MMR007,,,MMR007HLA004,_______________________________,National Democratic Force,NDF,,2017,,
1366914ce4bf24d5ff5730348829ccc7,,_________________,Daw,San San Myint,,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_DawSanSanMyint.PNG,3/6/1951,18693,66.0,F,___,Bamar,_____,Buddhist,LL.B (________),LL.B,___________________,lawyer,,______(_)_______,amyotha,_____,Bago,_____,4,Bago,Bago-4,MMR007,,,MMR007HLA004,_________________________________,National League for Democracy,NLD,,2017,,
7d86e1d05385cb8fecb5b20837061776,,_____________(_)__________________,Daw,Nilar Ohn,Htiake Eindra Oo,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_DawNilarOhn(Ka)DawTiteEainDraOo.PNG,4/1/1967,24563,49.9,F,___,Bamar,_____,Buddhist,B.Sc (Zoology),B.Sc (Zoology),________________________,gems trader,,_____(_)_______,amyotha,_______,Yangon,_______,6,Yangon,Yangon-6,MMR013,,,MMR013HLA006,____________,Independent,Independent,https://storage.googleapis.com/staticassets/independent_logos/Yangon_Yangon6_DawNilarOhn.jpg,2017,,
